what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216313500
error,log,,,"Error in JSDT Core during AST creation",1389216313500
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216313504
error,log,,,"Error in JSDT Core during AST creation",1389216313504
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216313507
error,log,,,"Error in JSDT Core during AST creation",1389216313507
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216313509
error,log,,,"Error in JSDT Core during AST creation",1389216313509
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216313512
error,log,,,"Error in JSDT Core during AST creation",1389216313512
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216313514
error,log,,,"Error in JSDT Core during AST creation",1389216313514
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216313517
error,log,,,"Error in JSDT Core during AST creation",1389216313517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216313595
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1389216336609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216336697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216339338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216344256
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389216345631
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216346678
error,log,,,"Error in JSDT Core during AST creation",1389216346679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1389216348104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216348914
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216349060
error,log,,,"Error in JSDT Core during AST creation",1389216349061
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216349064
error,log,,,"Error in JSDT Core during AST creation",1389216349064
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216349067
error,log,,,"Error in JSDT Core during AST creation",1389216349067
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216349069
error,log,,,"Error in JSDT Core during AST creation",1389216349072
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216349075
error,log,,,"Error in JSDT Core during AST creation",1389216349075
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216349078
error,log,,,"Error in JSDT Core during AST creation",1389216349078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1389216349080
error,log,,,"Error in JSDT Core during AST creation",1389216349080
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1389216417356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216417436
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1389216421827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1389216430451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1389216432028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1389216432775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216446868
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1389216462027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389216462107
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1389216466924
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1389216478616
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1389216487486
